hour,temp_C
0,28.812118627451
1,28.77431686274512
2,31.574943529411787
3,31.73762372549022
4,31.805084509803933
5,33.24355960784316
6,33.353836862745126
7,33.41553882352944
8,32.95905568627453
9,32.85474000000002
10,30.542491176470612
11,30.4285360784314
12,30.17925000000002
13,30.187998627450998
14,29.642826274509826
15,28.391295490196104
16,28.423848627450997
17,28.068565490196107
18,28.077249411764747
19,28.0530554901961
20,27.471960392156888
21,27.50016941176472
22,28.83797764705885
23,28.816056470588254
